Wavelength (nm), Global Tilt (W m-2 nm-1), Flux (W m-2)
315.50, 1.183800e-01, 3.012391e-02
316.00, 1.234800e-01, 3.147150e-02
316.50, 1.503600e-01, 3.838307e-02
317.00, 1.715800e-01, 4.386919e-02
317.50, 1.824500e-01, 4.672199e-02
318.00, 1.759400e-01, 4.512585e-02
318.50, 1.859100e-01, 4.775797e-02
319.00, 2.047000e-01, 5.266744e-02
319.50, 1.958900e-01, 5.047971e-02
320.00, 2.052700e-01, 5.297966e-02
320.50, 2.452500e-01, 6.339730e-02
321.00, 2.502400e-01, 6.478813e-02
321.50, 2.384300e-01, 6.182663e-02
322.00, 2.220300e-01, 5.766353e-02
322.50, 2.170900e-01, 5.646811e-02
323.00, 2.122600e-01, 5.529736e-02
323.50, 2.486100e-01, 6.486741e-02
324.00, 2.753700e-01, 7.196069e-02
324.50, 2.832100e-01, 7.412368e-02
325.00, 2.789400e-01, 7.311860e-02
325.50, 3.243600e-01, 8.515536e-02
326.00, 3.812000e-01, 1.002315e-01
326.50, 4.072200e-01, 1.072373e-01
327.00, 3.980600e-01, 1.049857e-01
327.50, 3.846500e-01, 1.016040e-01
328.00, 3.511600e-01, 9.289933e-02
328.50, 3.716400e-01, 9.846719e-02
329.00, 4.223500e-01, 1.120733e-01
329.50, 4.687800e-01, 1.245828e-01
330.00, 4.713900e-01, 1.254666e-01
330.50, 4.280000e-01, 1.140904e-01
331.00, 4.026200e-01, 1.074873e-01
331.50, 4.180600e-01, 1.117779e-01
332.00, 4.362300e-01, 1.168120e-01
332.50, 4.391900e-01, 1.177817e-01
333.00, 4.294400e-01, 1.153401e-01
333.50, 4.072400e-01, 1.095418e-01
334.00, 4.149700e-01, 1.117884e-01
334.50, 4.450900e-01, 1.200819e-01
335.00, 4.638800e-01, 1.253384e-01
335.50, 4.531300e-01, 1.226165e-01
336.00, 4.151900e-01, 1.125174e-01
336.50, 3.821400e-01, 1.037149e-01
337.00, 3.738000e-01, 1.016022e-01
337.50, 4.005100e-01, 1.090237e-01
338.00, 4.341100e-01, 1.183451e-01
338.50, 4.552700e-01, 1.242972e-01
339.00, 4.635500e-01, 1.267448e-01
339.50, 4.744600e-01, 1.299191e-01
340.00, 5.018000e-01, 1.376079e-01
340.50, 5.007100e-01, 1.375109e-01
341.00, 4.713900e-01, 1.296488e-01
341.50, 4.693500e-01, 1.292770e-01
342.00, 4.893400e-01, 1.349803e-01
342.50, 5.076700e-01, 1.402413e-01
